dynamicProperties;occurrenceID;collectionID;catalogNumber;preparastions;recordedBy;identifiedBy;eventDate;country;stateProvince;county;locality;decimalLatitude;decimalLongitude;minimumElevationInMeters;scientificName;taxoank;individualCount;class;order;family;genus;SD;specificEpithet
Resolución 00386, junio 20 de 2000. CRQ;MAUQ. M8. CB. 30;94;M8. CB. 30;Montaje en alfiler;A. Garzón, J. Galeano, S. Vélez;A. Garzón, J. Galeano, S. Vélez;17/10/2003;Colombia;Quindío;Filandia;SD;SD;SD;2100;Canthon  colombianus;Especie;1;Insecta;Coleoptera;SD;Canthon;  ;colombianus
Resolución 00386, junio 20 de 2000. CRQ;MAUQ. M8. CB. 31;94;M8. CB. 31;Montaje en alfiler;A. Garzón, J. Galeano, S. Vélez;A. Garzón, J. Galeano, S. Vélez;17/10/2003;Colombia;Quindío;Filandia;Cruces;SD;SD;2020;Canthon  colombianus;Especie;1;Insecta;Coleoptera;SD;Canthon;  ;colombianus
Resolución 00386, junio 20 de 2000. CRQ;MAUQ. M8. CB. 32;94;M8. CB. 32;Montaje en alfiler;A. Garzón, J. Galeano, S. Vélez;A. Garzón, J. Galeano, S. Vélez;18/07/2003;Colombia;Quindío;Filandia;SD;SD;SD;2100;Canthon  pollitus;Especie;1;Insecta;Coleoptera;SD;Canthon;  ;pollitus
Resolución 00386, junio 20 de 2000. CRQ;MAUQ. M8. CB. 33;94;M8. CB. 33;Montaje en alfiler;A. Garzón, J. Galeano, S. Vélez;A. Garzón, J. Galeano, S. Vélez;12/09/2003;Colombia;Quindío;Filandia;SD;SD;SD;1900;Canthidium  moestum;Especie;1;Insecta;Coleoptera;SD;Canthidium;  ;moestum
Resolución 00386, junio 20 de 2000. CRQ;MAUQ. M8. CB. 34;94;M8. CB. 34;Montaje en alfiler;A. Garzón, J. Galeano, S. Vélez;A. Garzón, J. Galeano, S. Vélez;25/07/2003;Colombia;Quindío;Filandia;SD;SD;SD;2100;Canthidium  centrale;Especie;1;Insecta;Coleoptera;SD;Canthidium;  ;centrale
Resolución 00386, junio 20 de 2000. CRQ;MAUQ. M8. CB. 35;94;M8. CB. 35;Montaje en alfiler;A. Garzón, J. Galeano, S. Vélez;A. Garzón, J. Galeano, S. Vélez;18/07/2003;Colombia;Quindío;Filandia;SD;SD;SD;2100;Canthidium  moestum;Especie;1;Insecta;Coleoptera;SD;Canthidium;  ;moestum
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CB. 36;94;M8. CB. 36;Montaje en alfiler;SD;SD;25-27/06/2005;Colombia;Risaralda;Santa Rosa de Cabal;El Cedral;SD;SD;2001;Canthidium  centrale;Especie;1;Insecta;Coleoptera;SD;Canthidium;  ;centrale
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CB. 37;94;M8. CB. 37;Montaje en alfiler;A. Garzón, J. Galeano, S. Vélez;A. Garzón, J. Galeano, S. Vélez;12-13/09/2003;Colombia;Quindío;Filandia;Cruces;SD;SD;1840;Canthidium  Sp;Género;1;Insecta;Coleoptera;SD;Canthidium;  ;Sp
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CB. 38;94;M8. CB. 38;Montaje en alfiler;SD;SD;25-27/06/2005;Colombia;Risaralda;Santa Rosa de Cabal;El Cedral;SD;SD;2001;Canthidium  centrale;Especie;1;Insecta;Coleoptera;SD;Canthidium;  ;centrale
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CB. 39;94;M8. CB. 39;Montaje en alfiler;SD;SD;8-10/06/2005;Colombia;Caldas;Aranzazu;Sabanalarga;SD;SD;2007;Canthidium  centrale;Especie;1;Insecta;Coleoptera;SD;Canthidium;  ;centrale
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CB. 40;94;M8. CB. 40;Montaje en alfiler;SD;SD;25-27/06/2005;Colombia;Risaralda;Santa Rosa de Cabal;El Cedral;SD;SD;2001;Canthidium  centrale;Especie;1;Insecta;Coleoptera;SD;Canthidium;  ;centrale
